Part 2,,,,,
I_p = 5.016 mA,,,,,
Volts,Real V,"Amps, microamp",,,
25,25.169,-115.84,,,
22,22.071,-113.13,,,
19,19.118,-110.24,,,
16,16.05,-105.05,,,
13,13.136,-97.09,,,
10,10.216,-85.14,,,
8,8.102,-73.71,,,
6,6.091,-60.29,,,
4,4.0814,-44.55,,,
2,2.0157,-25.74,,,
0,0.5851,-10.95,,,
0,-0.6944,-24.45,,,
-2,-2.0343,-38.26,,,
-4,-4.1946,-57.32,,,
-6,-6.039,-71.63,,,
-8,-8.013,-84.78,,,
-10,-10.055,-96.27,,,
-13,-13.01,-109.21,,,
-16,-16.005,-118.41,,,
-19,-19.073,-124.51,,,
-22,-21.988,-128.17,,,
-25,-25.123,-131.31,,,
,,,,,
,,,,,
I_p = 3.0617 mA,,,,,
Volts,Real V,"Amps, microamp",,,
25,25.106,-67.7,,,
22,21.925,-65.68,,,
19,19.007,-63.77,,,
16,15.977,-61.23,,,
13,12.166,-55.56,,,
10,10.022,-50.29,,,
8,7.919,-43.21,,,
6,6.079,-35.29,,,
4,4.0969,-24.98,,,
2,2.0475,-12.42,,,
0,0.5268,-2.22,,,
0,-0.5303,-10.73,,,
-2,-2.0032,-20.65,,,
-4,-4.0803,-33.24,,,
-6,-6.053,-43.42,,,
-8,-8.038,-51.88,,,
-10,-10.093,-58.73,,,
-13,-13.047,-65.64,,,
-16,-16.055,-69.97,,,
-19,-19.998,-72.69,,,
-22,-22.188,-75.01,,,
-25,-25.123,-77.01,,,
,,,,,
,,,,,Zond param
I_p = 3.0617 mA,,,,,D = 0.2 mm
Volts,Real V,"Amps, microamp",,,L = 5.2 mm
25,25.124,-33.28,,,
22,22.225,-32.2,,,
19,19.021,-31.03,,,
16,15.937,-29.77,,,
13,12.106,-27.33,,,
10,10.108,-25.1,,,
8,8.239,-22.25,,,
6,6.145,-17.93,,,
4,4.1065,-12.47,,,
2,2.053,-5.73,,,
0,0.5846,-0.41,,,
0,0.5948,-5.01,,,
-2,-2.067,-10.38,,,
-4,-4.0701,-16.93,,,
-6,-6.158,-22.56,,,
-8,-8.029,-26.51,,,
-10,-10.207,-30.01,,,
-13,-12.161,-32.5,,,
-16,-16.104,-35.02,,,
-19,-19.019,-36.33,,,
-22,-22.082,-37.63,,,
-25,-25.104,-38.91,,,
